,missing_count,missing_percent
track_name,5,0.015228581000822344
track_artist,5,0.015228581000822344
track_album_name,5,0.015228581000822344
track_id,0,0.0
track_popularity,0,0.0
track_album_id,0,0.0
track_album_release_date,0,0.0
playlist_name,0,0.0
playlist_id,0,0.0
playlist_genre,0,0.0
playlist_subgenre,0,0.0
danceability,0,0.0
energy,0,0.0
key,0,0.0
loudness,0,0.0
mode,0,0.0
speechiness,0,0.0
acousticness,0,0.0
instrumentalness,0,0.0
liveness,0,0.0
valence,0,0.0
tempo,0,0.0
duration_ms,0,0.0
